name,address,city,province,lat,lng
129 Peter St,129 Peter Street,Toronto,ON,43.6487063,-79.3931334
2671 Islington Avenue-Sr.Female,2671 Islington Avenue,Toronto,ON,43.7392996,-79.5658713
2671 Islington Avenue-Sr.Male,2671 Islington Avenue,Toronto,ON,43.7392996,-79.5658713
3306 Kingston Road,3306 Kingston Road,Toronto,ON,43.6475,-79.3832
Barrett House,Barrett House,Toronto,ON,43.6475,-79.3832
Birkdale Residence,1229 Ellesmere Road,Toronto,ON,43.76828219999999,-79.2674466
Birkdale Residence Motel (Fam),1229 Ellesmere Road,Toronto,ON,43.76828219999999,-79.2674466
Birkdale Residence Motel (Men's),1229 Ellesmere Road,Toronto,ON,43.76828219999999,-79.2674466
COSTI - Radisson Hotel (Single),100 Lippincott Street,Toronto,ON,43.6575621,-79.4073935
COSTI - Toronto Plaza Hotel(Fam),100 Lippincott Street,Toronto,ON,43.6575621,-79.4073935
COSTI Radisson Hotel,100 Lippincott Street,Toronto,ON,43.6575621,-79.4073935
COSTI Reception Centre,100 Lippincott Street,Toronto,ON,43.6575621,-79.4073935
COSTI Toronto Plaza Hotel (Sin),100 Lippincott Street,Toronto,ON,43.6575621,-79.4073935
COTA,COTA,Toronto,ON,43.6475,-79.3832
Christie Ossington Men's Hostel,973 Lansdowne Avenue,Toronto,ON,43.6661036,-79.4460191
Christie Ossington South Hostel,973 Lansdowne Avenue,Toronto,ON,43.6661036,-79.4460191
Christie Refugee Welcome Centre,43 Christie Street,Toronto,ON,43.665203,-79.4188573
Cornerstone 616 Vaughan Rd.,616 Vaughan Road,Toronto,ON,43.6918507,-79.4398908
Covenant House-20 Gerrard St. E.,20 Gerrard Street East,Toronto,ON,43.6580739,-79.3814908
Covenant House-21 McGill Street,21 McGill Street,Toronto,ON,43.6599534,-79.3813557
Dixon Hall - Heyworth House,2714 Danforth Avenue,Toronto,ON,43.6891847,-79.29827139999999
Dixon Hall-School House,349 George Street,Toronto,ON,43.6601459,-79.3742997
Downsview Dells 1651 Sheppard W,1651 Sheppard Ave West,Toronto,ON,43.74063719999999,-79.49416029999999
Eagle's Nest Transition House,558 Bathurst Street,Toronto,ON,43.6584807,-79.40883029999999
Eva's Phoenix,60 Brant Street,Toronto,ON,43.6473332,-79.39871939999999
Eva's Place,360 Lesmill Road,North York,ON,43.7633532,-79.3609489
Eva's Satellite,25 Canterbury Place,North York,ON,43.7728149,-79.4147563
FV Women's Hostel 86 Lombard,86 Lombard St.,Toronto,ON,43.6522726,-79.37393929999999
Family Residence - Edward  Co-Ed,4222 Kingston Road,Toronto,ON,43.7609599,-79.1968644
Family Residence - Edward Villag,4222 Kingston Road,Toronto,ON,43.7609599,-79.1968644
Family Residence - LI Site,4222 Kingston Road,Toronto,ON,43.7609599,-79.1968644
Family Residence - MA Site,4222 Kingston Road,Toronto,ON,43.7609599,-79.1968644
Family Residence - Main Building,4222 Kingston Road,Toronto,ON,43.7609599,-79.1968644
Family Residence - New Plaza,4222 Kingston Road,Toronto,ON,43.7609599,-79.1968644
Family Residence - Roycroft Site,4222 Kingston Road,Toronto,ON,43.7609599,-79.1968644
Fife House - Denison Program,490 Sherbourne Street,Toronto,ON,43.6676381,-79.3752523
Fife-Sherbourne Transitional Pgm,490 Sherbourne Street,Toronto,ON,43.6676381,-79.3752523
Florence Booth - 723 Queen St. W,723 Queen Street West,Toronto,ON,43.6464893,-79.4063381
Fort York - Staybridge Suites,38 Bathurst St,Toronto,ON,43.6415266,-79.40318719999999
Fort York Res 38 Bathurst St.,38 Bathurst St,Toronto,ON,43.6415266,-79.40318719999999
Fred Victor 512 Jarvis St.,512 Jarvis St.,Toronto,ON,43.6676283,-79.37931329999999
Fred Victor BUS - 1161 Caledonia,1161 Caledonia Road,Toronto,ON,43.7156521,-79.4666149
Fred Victor T2H 386 Dundas St. E,386 Dundas St. E,Toronto,ON,43.65911819999999,-79.3681586
Friends of Ruby 257 DunDas St E,257 Dundas Street East,Toronto,ON,43.6580378,-79.3721094
Good Shepherd Centre,412 Queen Street East,Toronto,ON,43.6563077,-79.3625149
HFS - 545 Lakeshore Blvd W.Women,545 Lakeshore Blvd W,Toronto,ON,43.6364528,-79.3989265
HFS - 545 Lakeshore Blvd. W. Men,545 Lakeshore Blvd W,Toronto,ON,43.6364528,-79.3989265
HFS - 702 Kennedy Shelter,702 Kennedy Rd,Toronto,ON,43.7279534,-79.26765759999999
HFS - Savard's Womens' Shelter,1322 Bloor Street West,Toronto,ON,43.6583762,-79.4432388
HFS - Scarborough Shelter,3576 St. Clair Avenue East,Scarborough,ON,43.717528,-79.2581094
HFS - Strachan House,805A Wellington Street W,Toronto,ON,43.6409036,-79.4101805
HFS-545 Lakeshore Blvd W.Couple,545 Lakeshore Blvd W,Toronto,ON,43.6364528,-79.3989265
Horizons for Youth,422 Gilbert Avenue,Toronto,ON,43.6894853,-79.4623022
Junction Place,Junction Place,Toronto,ON,43.6475,-79.3832
Kennedy House Youth Shelter,1076 Pape Avenue,Toronto,ON,43.6909102,-79.34966279999999
Na-Me-Res 14 Vaughan Road,14 Vaughan Road,Toronto,ON,43.681428,-79.4183468
Red Door - 1430 Gerrad St E,1430 Gerrard St E,Toronto,ON,43.6724624,-79.32232710000001
Robertson House,291 Sherbourne Street,Toronto,ON,43.66057139999999,-79.3714147
S.A. Evangeline Residence,2808 Dundas St W,Toronto,ON,43.665635,-79.4631838
S.A. Gateway - 107 Jarvis Street,107 Jarvis Street,Toronto,ON,43.6523669,-79.3722725
S.A. Maxwell Meighen Centre,Sherbourne Street,Toronto,ON,43.661228,-79.3722185
S.A. New Hope Leslieville,29 Leslie Street,Toronto,ON,43.6620613,-79.32939669999999
SVDP - Amelie House,126 Pape Avenue,Toronto,ON,43.66282229999999,-79.33854560000002
SVDP - Elisa House,60 Newcastle Street,Toronto,ON,43.6182521,-79.497208
SVDP - Mary's Home,70 Gerrard St. E.,Toronto,ON,43.6600489,-79.37831249999999
SVDP - St. Clare's Residence,3410 Bayview Avenue,Toronto,ON,43.7979694,-79.3954669
Sagatay 26 Vaughan Road,26 Vaughan Road,Toronto,ON,43.6818271,-79.4188119
Scott Mission - 502 Spadina Ave,502 Spadina Ave.,Toronto,ON,43.6586509,-79.4007969
Seaton House - 339 George Street,339 George Street,Toronto,ON,43.6595825,-79.3739208
Sojourn House,101 Ontario Street,Toronto,ON,43.6545597,-79.3665735
Sojourn House(Singles),101 Ontario Street,Toronto,ON,43.6545597,-79.3665735
Sojourn House-Grange (Family),101 Ontario Street,Toronto,ON,43.6545597,-79.3665735
St.Simon's 525 Bloor Street East,525 Bloor Street East,Toronto,ON,43.6717544,-79.373702
Street Haven - 87 Pembroke St,87 Pembroke St,Toronto,ON,43.65921900000001,-79.37235129999999
TCH 191 Spadina Rd(Singles),191 Spadina Road,Toronto,ON,43.6736075,-79.4063139
Tor. Comm. Hostel 191 Spadina Rd,191 Spadina Road,Toronto,ON,43.6736075,-79.4063139
Turning Point Youth Services,95 Wellesley St. E.,Toronto,ON,43.6658254,-79.3792474
Womens Res-Alexandra Hotel,Womens Res-Alexandra Hotel,Toronto,ON,43.6475,-79.3832
Womens' Res - 63 Bellwoods Ave.,63 Bellwoods Ave.,Toronto,ON,43.64800109999999,-79.4113564
Womens' Res - 674 Dundas St. W,674 Dundas St. W,Toronto,ON,43.65197209999999,-79.40368409999999
YMCA Sprott House Walmer Rd,YMCA Sprott House Walmer Rd,Toronto,ON,43.6475,-79.3832
YWCA - 348 Davenport Road Women,348 Davenport Road,Toronto,ON,43.6754118,-79.4013331
YWCA - 348 Davenport Road Youth,348 Davenport Road,Toronto,ON,43.6754118,-79.4013331
YWCA-80 Woodlawn Av. E.-Women,80 Woodlawn Av. E.,Toronto,ON,43.6846902,-79.3898478
YWCA-80 Woodlawn Ave. E.-Youth,80 Woodlawn Ave. E.,Toronto,ON,43.6846902,-79.3898478
Yhouse - Vanauley,Yhouse - Vanauley,Toronto,ON,43.6475,-79.3832
Youth w/o Shelter Emerg Shelter,Youth w/o Shelter Emerg Shelter,Toronto,ON,43.6475,-79.3832
Youth w/o Shltr Transitional Res,Youth w/o Shltr Transitional Res,Toronto,ON,43.6475,-79.3832
YouthLink - 747 Warden Ave,747 Warden Ave,Toronto,ON,43.71790319999999,-79.28289079999999
